"ID"	"Product Code"	"Product Name"	"Standard Cost"	"List Price"	"Reorder Level"	"Target Level"	"Quantity Per Unit"	"Discontinued"	"Minimum Reorder Quantity"	"Category"
1	"NWTB-1"	"Northwind Traders Chai"	$13.50	$18.00	10	40	"10 boxes x 20 bags"	0	10	"Beverages"
3	"NWTCO-3"	"Northwind Traders Syrup"	$7.50	$10.00	25	100	"12 - 550 ml bottles"	0	25	"Condiments"
4	"NWTCO-4"	"Northwind Traders Cajun Seasoning"	$16.50	$22.00	10	40	"48 - 6 oz jars"	0	10	"Condiments"
5	"NWTO-5"	"Northwind Traders Olive Oil"	$16.01	$21.35	10	40	"36 boxes"	0	10	"Oil"
6	"NWTJP-6"	"Northwind Traders Boysenberry Spread"	$18.75	$25.00	25	100	"12 - 8 oz jars"	0	25	"Jams, Preserves"
7	"NWTDFN-7"	"Northwind Traders Dried Pears"	$22.50	$30.00	10	40	"12 - 1 lb pkgs."	0	10	"Dried Fruit & Nuts"
8	"NWTS-8"	"Northwind Traders Curry Sauce"	$30.00	$40.00	10	40	"12 - 12 oz jars"	0	10	"Sauces"
14	"NWTDFN-14"	"Northwind Traders Walnuts"	$17.44	$23.25	10	40	"40 - 100 g pkgs."	0	10	"Dried Fruit & Nuts"
17	"NWTCFV-17"	"Northwind Traders Fruit Cocktail"	$29.25	$39.00	10	40	"15.25 OZ"	0	10	"Canned Fruit & Vegetables"
19	"NWTBGM-19"	"Northwind Traders Chocolate Biscuits Mix"	$6.90	$9.20	5	20	"10 boxes x 12 pieces"	0	5	"Baked Goods & Mixes"
20	"NWTJP-6"	"Northwind Traders Marmalade"	$60.75	$81.00	10	40	"30 gift boxes"	0	10	"Jams, Preserves"
21	"NWTBGM-21"	"Northwind Traders Scones"	$7.50	$10.00	5	20	"24 pkgs. x 4 pieces"	0	5	"Baked Goods & Mixes"
34	"NWTB-34"	"Northwind Traders Beer"	$10.50	$14.00	15	60	"24 - 12 oz bottles"	0	15	"Beverages"
40	"NWTCM-40"	"Northwind Traders Crab Meat"	$13.80	$18.40	30	120	"24 - 4 oz tins"	0	30	"Canned Meat"
41	"NWTSO-41"	"Northwind Traders Clam Chowder"	$7.24	$9.65	10	40	"12 - 12 oz cans"	0	10	"Soups"
43	"NWTB-43"	"Northwind Traders Coffee"	$34.50	$46.00	25	100	"16 - 500 g tins"	0	25	"Beverages"
48	"NWTCA-48"	"Northwind Traders Chocolate"	$9.56	$12.75	25	100	"10 pkgs"	0	25	"Candy"
51	"NWTDFN-51"	"Northwind Traders Dried Apples"	$39.75	$53.00	10	40	"50 - 300 g pkgs."	0	10	"Dried Fruit & Nuts"
52	"NWTG-52"	"Northwind Traders Long Grain Rice"	$5.25	$7.00	25	100	"16 - 2 kg boxes"	0	25	"Grains"
56	"NWTP-56"	"Northwind Traders Gnocchi"	$28.50	$38.00	30	120	"24 - 250 g pkgs."	0	30	"Pasta"
57	"NWTP-57"	"Northwind Traders Ravioli"	$14.63	$19.50	20	80	"24 - 250 g pkgs."	0	20	"Pasta"
65	"NWTS-65"	"Northwind Traders Hot Pepper Sauce"	$15.79	$21.05	10	40	"32 - 8 oz bottles"	0	10	"Sauces"
66	"NWTS-66"	"Northwind Traders Tomato Sauce"	$12.75	$17.00	20	80	"24 - 8 oz jars"	0	20	"Sauces"
72	"NWTD-72"	"Northwind Traders Mozzarella"	$26.10	$34.80	10	40	"24 - 200 g pkgs."	0	10	"Dairy Products"
74	"NWTDFN-74"	"Northwind Traders Almonds"	$7.50	$10.00	5	20	"5 kg pkg."	0	5	"Dried Fruit & Nuts"
77	"NWTCO-77"	"Northwind Traders Mustard"	$9.75	$13.00	15	60	"12 boxes"	0	15	"Condiments"
80	"NWTDFN-80"	"Northwind Traders Dried Plums"	$3.00	$3.50	50	75	"1 lb bag"	0	25	"Dried Fruit & Nuts"
81	"NWTB-81"	"Northwind Traders Green Tea"	$2.00	$2.99	100	125	"20 bags per box"	0	25	"Beverages"
82	"NWTC-82"	"Northwind Traders Granola"	$2.00	$4.00	20	100		0		"Cereal"
83	"NWTCS-83"	"Northwind Traders Potato Chips"	$0.50	$1.80	30	200		0		"Chips, Snacks"
85	"NWTBGM-85"	"Northwind Traders Brownie Mix"	$9.00	$12.49	10	20	"3 boxes"	0	5	"Baked Goods & Mixes"
86	"NWTBGM-86"	"Northwind Traders Cake Mix"	$10.50	$15.99	10	20	"4 boxes"	0	5	"Baked Goods & Mixes"
87	"NWTB-87"	"Northwind Traders Tea"	$2.00	$4.00	20	50	"100 count per box"	0		"Beverages"
