ALARM_TYPE_ID	ALARM_DESCRIPTION	SHORT_CODE
1	7759 Bit Checksum Error	7759BITCHECKSUMERROR
2	7759 Calibration Error	7759CALIBRATIONERROR
3	7759 Register Check Error	7759REGISTERCHECKERROR
4	7759 Reset Error	7759RESETERROR
5	Block Bad Index	BLOCKBADINDEX
6	Block Buffer Size Error	BLOCKBUFFERSIZEERROR
7	Block Can't Mark Bad	BLOCKCANTMARKBAD
8	Block No Good Blocks	BLOCKNOGOODBLOCKS
9	Brownout	BROWNOUT
10	Clock Error	CLOCKERROR
11	Configuration Error	CONFIGURATIONERROR
12	Current Too High	CURRENTTOOHIGH
13	Disconnect Fail	DISCONNECTFAIL
14	General CRC Error	GENERALCRCERROR
15	Hard EPROM Error	HARDEEPROMERROR
16	Hard kWh Error	HARDKWHERROR
17	High AC Volts	HIGHACVOLTS
18	Hot Socket	HOTSOCKET
19	Low AC Volts	LOWACVOLTS
20	Low Battery Error	LOWBATTERYERROR
21	Low Loss Potential	LOWLOSSPOTENTIAL
22	Meter Power Fail	METERPOWERFAIL
23	Meter RAM Error	METERRAMERROR
24	Meter Read Fail	METERREADFAIL
25	Meter ROM Error	METERROMERROR
26	Meter Unprogrammed	METERUNPROGRAMMED
27	Metrology Bad Register Number	METROBADREGISTERNUMBER
28	Metrology Cal. Corrupt	METROCALCORRUPT
29	Metrology Chip Integrity Fail	METROCHIPINTEGRITYFAIL
30	Power Failure	POWERFAIL
31	Power Restoration	POWERRESTORE
32	RAM Fail	RAMFAIL
33	Reverse Energy	REVERSEENERGYALARM
34	Reverse Power	REVERSEPOWER
35	ROM Fail	ROMFAIL
36	Single Phase Fail	SINGLEPHASEFAIL
37	Single Phase Value	SINGLEPHASEFAILVALUE
38	Soft EEPROM Error	SOFTEEPROMERROR
39	Soft kWh Error	SOFTKWHERROR
40	Tamper	TAMPER
41	Time Adjust	TIMEADJUST
42	Time of Event	TIMEOFEVENT
